"series","date","issue","url","volume","value","is_clean"
"pennsylvania_6pct","1855-11-09","1855-11-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA495",10,83,0
"US_6pct_1868","1855-11-09","1855-11-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA495",10,118,0
"virginia_6pct","1855-11-09","1855-11-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA495",10,98,0
"california_7pct_1870","1855-11-16","1855-11-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA495",10,84,0
"georgia_6pct","1855-11-16","1855-11-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA495",10,98,0
"indiana_5pct","1855-11-16","1855-11-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA495",10,81,0
"kentucky_6pct","1855-11-16","1855-11-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA495",10,102,0
"louisiana_6pct","1855-11-16","1855-11-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA495",10,89,0
"missouri_6pct","1855-11-16","1855-11-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA495",10,89.5,0
"north_carolina_6pct","1855-11-16","1855-11-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA495",10,97,0
"ohio_6pct_1874","1855-11-16","1855-11-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA495",10,112,0
"pennsylvania_6pct","1855-11-16","1855-11-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA495",10,82.5,0
"US_6pct_1868","1855-11-16","1855-11-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA495",10,118.25,0
"virginia_6pct","1855-11-16","1855-11-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA495",10,94.25,0
"california_7pct_1870","1855-11-23","1855-11-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA495",10,85,0
"georgia_6pct","1855-11-23","1855-11-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA495",10,98,0
"indiana_5pct","1855-11-23","1855-11-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA495",10,81.25,0
"kentucky_6pct","1855-11-23","1855-11-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA495",10,102,0
"louisiana_6pct","1855-11-23","1855-11-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA495",10,92.25,0
"missouri_6pct","1855-11-23","1855-11-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA495",10,90,0
