"bidder_num","price","amount","accepted","auction","coupon_yield","yield","ytm"
97,92,5,5,"1861-02-13; Loan of Feb 1861",0.0652173913043478,0.0670455492060614,
98,85.5,10,0,"1861-02-13; Loan of Feb 1861",0.0701754385964912,0.0735882158594626,
98,87.25,60,0,"1861-02-13; Loan of Feb 1861",0.0687679083094556,0.0717591869284301,
98,88.25,50,0,"1861-02-13; Loan of Feb 1861",0.0679886685552408,0.0707372167806978,
98,89.25,30,0,"1861-02-13; Loan of Feb 1861",0.0672268907563025,0.0697314798908313,
98,90,30,0,"1861-02-13; Loan of Feb 1861",0.0666666666666667,0.0689875402761626,
98,90.25,80,80,"1861-02-13; Loan of Feb 1861",0.0664819944598338,0.0687414953735844,
98,90.5,10,10,"1861-02-13; Loan of Feb 1861",0.0662983425414365,0.0684964060644168,
98,90.75,60,60,"1861-02-13; Loan of Feb 1861",0.0661157024793388,0.0682522653231644,
98,91.5,10,10,"1861-02-13; Loan of Feb 1861",0.0655737704918033,0.0675254653203907,
99,89,50,0,"1861-02-13; Loan of Feb 1861",0.0674157303370786,0.0699814188834883,
99,89.5,50,0,"1861-02-13; Loan of Feb 1861",0.0670391061452514,0.0694825253265003,
100,88,1,0,"1861-02-13; Loan of Feb 1861",0.0681818181818182,0.0709911682241098,
100,90.5,1,1,"1861-02-13; Loan of Feb 1861",0.0662983425414365,0.0684964060644168,
101,88,2,0,"1861-02-13; Loan of Feb 1861",0.0681818181818182,0.0709911682241098,
101,90,3,0,"1861-02-13; Loan of Feb 1861",0.0666666666666667,0.0689875402761626,
102,88,5,0,"1861-02-13; Loan of Feb 1861",0.0681818181818182,0.0709911682241098,
102,89,10,0,"1861-02-13; Loan of Feb 1861",0.0674157303370786,0.0699814188834883,
102,90,10,0,"1861-02-13; Loan of Feb 1861",0.0666666666666667,0.0689875402761626,
103,88.06,20,0,"1861-02-13; Loan of Feb 1861",0.0681353622530093,0.0709301269460482,
103,90.06,20,0,"1861-02-13; Loan of Feb 1861",0.0666222518321119,0.068928401970867,
104,85,5,0,"1861-02-13; Loan of Feb 1861",0.0705882352941176,0.0741206040141929,
104,87.54,5,0,"1861-02-13; Loan of Feb 1861",0.0685400959561343,0.0714611153510655,
104,90.15,10,10,"1861-02-13; Loan of Feb 1861",0.0665557404326123,0.0688397982675546,
104,92.3,5,5,"1861-02-13; Loan of Feb 1861",0.0650054171180932,0.066759346072127,
105,88,10,0,"1861-02-13; Loan of Feb 1861",0.0681818181818182,0.0709911682241098,
105,89,10,0,"1861-02-13; Loan of Feb 1861",0.0674157303370786,0.0699814188834883,
105,90,10,0,"1861-02-13; Loan of Feb 1861",0.0666666666666667,0.0689875402761626,
106,87.5,25,0,"1861-02-13; Loan of Feb 1861",0.0685714285714286,0.0715021454668357,
106,90.25,25,25,"1861-02-13; Loan of Feb 1861",0.0664819944598338,0.0687414953735844,
107,88,20,0,"1861-02-13; Loan of Feb 1861",0.0681818181818182,0.0709911682241098,
107,89,20,0,"1861-02-13; Loan of Feb 1861",0.0674157303370786,0.0699814188834883,
107,89.5,20,0,"1861-02-13; Loan of Feb 1861",0.0670391061452514,0.0694825253265003,
108,86,20,0,"1861-02-13; Loan of Feb 1861",0.0697674418604651,0.0730602433655113,
108,88,20,0,"1861-02-13; Loan of Feb 1861",0.0681818181818182,0.0709911682241098,
108,90.01,60,0,"1861-02-13; Loan of Feb 1861",0.0666592600822131,0.0689776800438676,
109,85,10,0,"1861-02-13; Loan of Feb 1861",0.0705882352941176,0.0741206040141929,
109,87.55,20,0,"1861-02-13; Loan of Feb 1861",0.0685322672758424,0.0714508619697031,
109,90.03,50,0,"1861-02-13; Loan of Feb 1861",0.0666444518493835,0.0689579641983409,
110,86,20,0,"1861-02-13; Loan of Feb 1861",0.0697674418604651,0.0730602433655113,
110,87,20,0,"1861-02-13; Loan of Feb 1861",0.0689655172413793,0.0720172741955362,
110,88,30,0,"1861-02-13; Loan of Feb 1861",0.0681818181818182,0.0709911682241098,
110,90,30,0,"1861-02-13; Loan of Feb 1861",0.0666666666666667,0.0689875402761626,
110,90.25,40,40,"1861-02-13; Loan of Feb 1861",0.0664819944598338,0.0687414953735844,
110,90.5,10,10,"1861-02-13; Loan of Feb 1861",0.0662983425414365,0.0684964060644168,
111,87,30,0,"1861-02-13; Loan of Feb 1861",0.0689655172413793,0.0720172741955362,
111,88,30,0,"1861-02-13; Loan of Feb 1861",0.0681818181818182,0.0709911682241098,
111,90.03,60,0,"1861-02-13; Loan of Feb 1861",0.0666444518493835,0.0689579641983409,
112,85,10,0,"1861-02-13; Loan of Feb 1861",0.0705882352941176,0.0741206040141929,
112,90,25,0,"1861-02-13; Loan of Feb 1861",0.0666666666666667,0.0689875402761626,
113,87.5,3,0,"1861-02-13; Loan of Feb 1861",0.0685714285714286,0.0715021454668357,
113,90,2,0,"1861-02-13; Loan of Feb 1861",0.0666666666666667,0.0689875402761626,
114,88.5,5,0,"1861-02-13; Loan of Feb 1861",0.0677966101694915,0.0704842798162358,
115,87,20,0,"1861-02-13; Loan of Feb 1861",0.0689655172413793,0.0720172741955362,
115,87.65,25,0,"1861-02-13; Loan of Feb 1861",0.0684540787221905,0.0713484192639194,
115,90.05,30,0,"1861-02-13; Loan of Feb 1861",0.0666296501943365,0.068938254508524,
116,85,25,0,"1861-02-13; Loan of Feb 1861",0.0705882352941176,0.0741206040141929,
116,87.5,25,0,"1861-02-13; Loan of Feb 1861",0.0685714285714286,0.0715021454668357,
116,90,25,0,"1861-02-13; Loan of Feb 1861",0.0666666666666667,0.0689875402761626,
116,91,25,25,"1861-02-13; Loan of Feb 1861",0.0659340659340659,0.0680090661958978,
117,85,5,0,"1861-02-13; Loan of Feb 1861",0.0705882352941176,0.0741206040141929,
117,86,5,0,"1861-02-13; Loan of Feb 1861",0.0697674418604651,0.0730602433655113,
117,87,5,0,"1861-02-13; Loan of Feb 1861",0.0689655172413793,0.0720172741955362,
117,88,5,0,"1861-02-13; Loan of Feb 1861",0.0681818181818182,0.0709911682241098,
117,89,5,0,"1861-02-13; Loan of Feb 1861",0.0674157303370786,0.0699814188834883,
117,90,10,0,"1861-02-13; Loan of Feb 1861",0.0666666666666667,0.0689875402761626,
117,90.03,5,0,"1861-02-13; Loan of Feb 1861",0.0666444518493835,0.0689579641983409,
118,88,40,0,"1861-02-13; Loan of Feb 1861",0.0681818181818182,0.0709911682241098,
119,88,4,0,"1861-02-13; Loan of Feb 1861",0.0681818181818182,0.0709911682241098,
120,88,10,0,"1861-02-13; Loan of Feb 1861",0.0681818181818182,0.0709911682241098,
121,88,4,0,"1861-02-13; Loan of Feb 1861",0.0681818181818182,0.0709911682241098,
122,88,2,0,"1861-02-13; Loan of Feb 1861",0.0681818181818182,0.0709911682241098,
123,85.76,4,0,"1861-02-13; Loan of Feb 1861",0.0699626865671642,0.0733131234310293,
123,87,5,0,"1861-02-13; Loan of Feb 1861",0.0689655172413793,0.0720172741955362,
123,88,7,0,"1861-02-13; Loan of Feb 1861",0.0681818181818182,0.0709911682241098,
123,89,8,0,"1861-02-13; Loan of Feb 1861",0.0674157303370786,0.0699814188834883,
124,87.55,10,0,"1861-02-13; Loan of Feb 1861",0.0685322672758424,0.0714508619697031,
125,87.5,5,0,"1861-02-13; Loan of Feb 1861",0.0685714285714286,0.0715021454668357,
126,87.5,300,0,"1861-02-13; Loan of Feb 1861",0.0685714285714286,0.0715021454668357,
127,82.5,2,0,"1861-02-13; Loan of Feb 1861",0.0727272727272727,0.0768259178541707,
127,85,2,0,"1861-02-13; Loan of Feb 1861",0.0705882352941176,0.0741206040141929,
127,87.5,2,0,"1861-02-13; Loan of Feb 1861",0.0685714285714286,0.0715021454668357,
127,89,2,0,"1861-02-13; Loan of Feb 1861",0.0674157303370786,0.0699814188834883,
