"series","date","price","price_clean","price_orig","gold_rate","accrued_interest","current_yield1","current_yield2","ytm1","duration1","convexity1","maturity1","ytm2","duration2","convexity2","maturity2","ytm3","duration3","convexity3","maturity3","ytm4","duration4","convexity4","maturity4","ytm5","duration5","convexity5","maturity5","govt_rate","ytm6","duration6","convexity6","maturity6","registered"
"6's, 1881 Coup.","1865-05-03",77.7038006792461,75.6817012317323,77.7038006792461,1.41563217034994,2.02209944751381,0.0792794017886623,0.0560028257686915,0.032514318305945,2.84957034799187,8.64593380591335,3.12000547945206,0.1562117521699,2.7787636429677,8.3776167219327,3.12000547945206,0.116216268984616,2.7787199899066,8.37747475695711,3.12000547945206,0.106213145997615,2.77874640675475,8.37755638479155,3.12000547945206,0.0962114355433903,2.77876084486441,8.37760095884023,3.12000547945206,0.0306667866479052,0.124736474208329,2.77920440619945,8.3793247977121,3.12000547945206,0
"6's, 1881 Coup.","1865-05-10",82.4435991208535,80.3054775738922,82.4435991208535,1.33424548628392,2.13812154696133,0.0747147041679588,0.0559977192623306,0.032734637845186,2.83027974628085,8.53657751790314,3.10082739726027,0.135868138675498,2.77221816863154,8.31864277001783,3.10082739726027,0.09584976139864,2.77237306730055,8.31911944236452,3.10082739726027,0.085848918858961,2.77238013181658,8.31914113429098,3.10082739726027,0.0758676030446651,2.77222317224186,8.31865879472127,3.10082739726027,0.0308882011127026,0.104143461057365,2.77286665728317,8.32097072138216,3.10082739726027,0
"6's, 1881 Coup.","1865-05-17",83.6841322364043,81.4299885899955,83.6841322364043,1.30251694182691,2.25414364640884,0.0736829281680283,0.0565696504988877,0.0362140375018624,2.80932876070331,8.42175632322608,3.08164931506849,0.131379263586885,2.75583895090257,8.22300045182098,3.08164931506849,0.091365461928363,2.75595393717611,8.22335219164833,3.08164931506849,0.0813686083408249,2.75592737181903,8.22327048258862,3.08164931506849,0.0713390228268147,2.75618153325203,8.22405769067887,3.08164931506849,0.0345977280907204,0.0961439397378631,2.756331310956,8.22475076921323,3.08164931506849,0
"6's, 1881 Coup.","1865-05-24",81.9082382782403,79.5380725323839,81.9082382782403,1.33686186275953,2.37016574585635,0.0754355720344757,0.056427349852559,0.0348197683768258,2.79086143521044,8.31699933274023,3.06247123287671,0.140172687244442,2.73118717941788,8.09767341679145,3.06247123287671,0.100152140005445,2.73135580637098,8.09818607956123,3.06247123287671,0.0901511164683005,2.73136416391502,8.09821143444882,3.06247123287671,0.0801596596589624,2.73129332977025,8.09799517403501,3.06247123287671,0.0330920371735948,0.106225620040335,2.73186562684449,8.10005609359582,3.06247123287671,0
"6's, 1881 Coup.","1865-06-14",77.4203006563524,74.7020686121535,77.4203006563524,1.41435772105873,2.7182320441989,0.0803190609238878,0.0567883638827695,0.0355529860038998,2.73295129015579,7.99782071460449,3.00493698630137,0.164364646201055,2.65846977086342,7.73289354866472,3.00493698630137,0.124372795357754,2.65840716359992,7.73270833864837,3.00493698630137,0.114369218329469,2.65843511200661,7.73279160648768,3.00493698630137,0.104367150330693,2.65845123692684,7.732839607131,3.00493698630137,0.0338367479602511,0.130539355987299,2.65838127950762,7.73263117982999,3.00493698630137,0
"6's, 1881 Coup.","1865-06-21",78.4035181229772,75.5692639793308,78.4035181229772,1.40937553116786,2.83425414364641,0.0793973592443759,0.0563351338862711,0.0324482859622126,2.71535270357239,7.89896575489741,2.98575890410959,0.160762751341356,2.64169754668799,7.63966030423885,2.98575890410959,0.120779627475324,2.64156944472125,7.63928364807113,2.98575890410959,0.110776806641863,2.64159121313509,7.63934809850784,2.98575890410959,0.100775199500261,2.64160358818795,7.63938470413431,2.98575890410959,0.0304911672222156,0.131153845418145,2.64097556902619,7.63722825149295,2.98575890410959,0
"6's, 1881 Coup.","1865-06-28",78.473433787632,75.5231575445381,78.473433787632,1.40493406084871,2.95027624309392,0.079445830856074,0.0565477292280047,0.0335210824128635,2.6956288943434,7.79326752718714,2.96658082191781,0.161601439617388,2.6219865498241,7.53686193568748,2.96658082191781,0.121619258996263,2.62185321854571,7.53647249637103,2.96658082191781,0.111616453903694,2.6218745760127,7.53653533533511,2.96658082191781,0.101614845529961,2.62188679484534,7.53657125317104,2.96658082191781,0.0316270555220805,0.13021289808742,2.62168363824486,7.53590142689893,2.96658082191781,0
"6's, 1881 Coup.","1865-07-05",78.9961710059418,78.9309536146375,78.9961710059418,1.39880197473987,0.0652173913043478,0.076015805273222,0.0543435072626048,0.0228905501610306,2.75493108212745,7.91817473771146,2.94740273972603,0.145928997529217,2.71234790062935,7.75428574891974,2.94740273972603,0.105909309122668,2.71250271317307,7.75473920442837,2.94740273972603,0.0959081997893112,2.71251139127922,7.75476456911735,2.94740273972603,0.085907612702293,2.71251597036772,7.75477793664169,2.94740273972603,0.0201907786420512,0.126142464388204,2.71230055682786,7.75400271929076,2.94740273972603,0
"6's, 1881 Coup.","1865-07-12",75.9135296511308,75.7341818250438,75.9135296511308,1.41443824959074,0.179347826086957,0.0792244645074638,0.0560112571406967,0.0335672915809931,2.73240812383104,7.80005550580379,2.92822465753425,0.161763166324128,2.68735822370599,7.62828690955302,2.92822465753425,0.121785644389942,2.68718800204814,7.62779598255334,2.92822465753425,0.111783099838757,2.68720761169806,7.62785295273399,2.92822465753425,0.101781632512592,2.68721889392779,7.62788569909856,2.92822465753425,0.0316459528376317,0.130360407967358,2.68707632081941,7.62739617504069,2.92822465753425,0
"6's, 1881 Coup.","1865-07-19",75.1179261581206,74.824447897251,75.1179261581206,1.42941912126247,0.293478260869565,0.0801876949127537,0.0560980986751678,0.033804595937734,2.71315463295204,7.69533244336774,2.90904657534247,0.166897981250169,2.66611531663842,7.51788119326528,2.90904657534247,0.126914370100086,2.66599366983794,7.51753343548872,2.90904657534247,0.116911246815006,2.66601740206055,7.51760194795402,2.90904657534247,0.106909399926772,2.6660314056578,7.51764233923696,2.90904657534247,0.0318855319140092,0.135251854644572,2.66587668286392,7.51712098227751,2.90904657534247,0
"6's, 1881 Coup.","1865-07-26",74.848127109193,74.4405184135408,74.848127109193,1.43123153694573,0.407608695652174,0.0806012656530424,0.0563160212533094,0.0349125898442947,2.69362596917946,7.59031756363488,2.88986849315069,0.16947767587504,2.64590484420264,7.41217107888877,2.88986849315069,0.129492269363402,2.64579846895781,7.41186945091704,2.88986849315069,0.11948891713394,2.64582358870972,7.41194150647212,2.88986849315069,0.109486908841232,2.6458386063754,7.41198454734431,2.88986849315069,0.0330621030875822,0.136654917618351,2.64568414105009,7.41146754322583,2.88986849315069,0
"6's, 1881 Coup.","1865-08-05",74.5856610468061,74.015008872893,74.5856610468061,1.43626802386016,0.570652173913043,0.081064639339622,0.0564411641789184,0.0352714684630426,2.66611448512599,7.44304952162906,2.86247123287671,0.172606006851023,2.61725666314956,7.26338099387683,2.86247123287671,0.13261913206333,2.61716343687234,7.26311972714468,2.86247123287671,0.122615539720082,2.61718982354476,7.2631947223329,2.86247123287671,0.112613353695393,2.6172058477888,7.2632402277327,2.86247123287671,0.0334266556484836,0.139419648096962,2.61704832939439,7.26272004496417,2.86247123287671,0
"6's, 1881 Coup.","1865-08-12",75.383283809563,74.6985012008673,75.383283809563,1.41443824959074,0.684782608695652,0.0803228967588754,0.0567878426521034,0.0372989612718149,2.64629360540601,7.33880192879269,2.84329315068493,0.169772931280522,2.5992636343751,7.16760274801491,2.84329315068493,0.129793576493632,2.5991176346564,7.16719467534445,2.84329315068493,0.119790601507604,2.59913919426894,7.16725555020601,2.84329315068493,0.109788806834993,2.59915217212515,7.16729216154884,2.84329315068493,0.0355960927774937,0.134425621139198,2.59901424618182,7.16683143145064,2.84329315068493,0
"6's, 1881 Coup.","1865-08-19",75.238895982281,74.4399829388027,75.238895982281,1.43875051044732,0.798913043478261,0.0806018454481997,0.0560221142323973,0.031802030159215,2.62885225169509,7.24395974689855,2.82411506849315,0.171786642758221,2.57928352488506,7.06540975522525,2.82411506849315,0.13180668768274,2.57914405304482,7.06502280166938,2.82411506849315,0.121803592123327,2.57916617121756,7.06508484623396,2.82411506849315,0.11180170555442,2.57917962233513,7.06512254568925,2.82411506849315,0.0296543497298252,0.146015604396963,2.57754966721906,7.05935813274317,2.82411506849315,0
"6's, 1881 Coup.","1865-08-26",74.1177500855902,73.2047066073293,74.1177500855902,1.44196228132373,0.91304347826087,0.0819619431327558,0.0568405596972441,0.0369477476142622,2.60804780973595,7.13766538337755,2.80493698630137,0.178973373115348,2.55717057798889,6.95651112876899,2.80493698630137,0.138985260111771,2.55709094575508,6.95629377722845,2.80493698630137,0.128980978080363,2.55712061503544,6.956375926885,2.80493698630137,0.118978437969967,2.55713846122463,6.95642562301373,2.80493698630137,0.0351881258633819,0.144029421310456,2.55697878302137,6.95591187366403,2.80493698630137,0
"6's, 1881 Coup.","1865-09-02",74.4221871117746,73.3950131987311,74.4221871117746,1.44446171460328,1.02717391304348,0.0817494232714946,0.0565950779068914,0.0349640084032288,2.58949738411814,7.0402238493606,2.78575890410959,0.178712329233348,2.5381013937079,6.85917789608181,2.78575890410959,0.138723891135846,2.53802579661434,6.85897383135293,2.78575890410959,0.12871991170351,2.53805302324558,6.85904876264384,2.78575890410959,0.118717535287113,2.53806948585488,6.8590943011551,2.78575890410959,0.033031301337804,0.14615662795056,2.53781264114945,6.85824836383784,2.78575890410959,0
"6's, 1881 Coup.","1865-09-09",74.584746915673,73.4434425678469,74.584746915673,1.44634130249132,1.14130434782609,0.0816955168524026,0.0564842590830271,0.0338668171937998,2.57066547970064,6.94248241742542,2.76658082191781,0.17921053867449,2.51872753646321,6.76151692175376,2.76658082191781,0.139222039909728,2.51865386797931,6.76131992933028,2.76658082191781,0.129218214145445,2.51867970635489,6.76139060401986,2.76658082191781,0.119215909404602,2.51869544645811,6.76143385332024,2.76658082191781,0.0318292230896307,0.147628220243445,2.5185297116722,6.76091247545297,2.76658082191781,0
