"series","date","price","price_clean","price_orig","gold_rate","accrued_interest","current_yield_currency","current_yield_gold","ytm_currency","duration_currency","convexity_currency","maturity","ytm_gold","duration_gold","convexity_gold","ytm_gold4pct","duration_gold4pct","convexity_gold4pct","ytm_gold5pct","duration_gold5pct","convexity_gold5pct","ytm_gold6pct","duration_gold6pct","convexity_gold6pct","ytm_gold1879","duration_gold1879","convexity_gold1879","ytm_actual","duration_actual","convexity_actual"
"Tennessee 6 per cents","1860-01-20",86.125,85.8118131868132,86.125,1,0.313186813186813,0.0699204430855917,0.0699204430855917,0.0704226958215713,12.9092153291997,261.222910325309,28.9650684931506,0.0704226958215713,12.9092153291997,261.222910325309,0.0704226958215713,12.9092153291997,261.222910325309,0.0704226958215713,12.9092153291997,261.222910325309,0.0704226958215713,12.9092153291997,261.222910325309,0.0704226958215713,12.9092153291997,261.222910325309,0.0871939664381658,10.4643195587322,185.009343711439
"Tennessee 6 per cents","1860-01-27",86.375,85.9464285714286,86.375,1,0.428571428571429,0.0698109287346769,0.0698109287346769,0.0703026127568153,12.9013548739336,261.07494448044,28.9458904109589,0.0703026127568153,12.9013548739336,261.07494448044,0.0703026127568153,12.9013548739336,261.07494448044,0.0703026127568153,12.9013548739336,261.07494448044,0.0703026127568153,12.9013548739336,261.07494448044,0.0703026127568153,12.9013548739336,261.07494448044,0.0870768058058228,10.453958903454,184.868773055498
"Tennessee 6 per cents","1860-02-03",88,87.456043956044,88,1,0.543956043956044,0.0686058930703022,0.0686058930703022,0.0689633676114004,13.0093639282307,264.473861635457,28.9267123287671,0.0689633676114004,13.0093639282307,264.473861635457,0.0689633676114004,13.0093639282307,264.473861635457,0.0689633676114004,13.0093639282307,264.473861635457,0.0689633676114004,13.0093639282307,264.473861635457,0.0689633676114004,13.0093639282307,264.473861635457,0.0854623414576367,10.5571623435173,188.081180123895
"Tennessee 6 per cents","1860-02-10",88,87.3406593406593,88,1,0.659340659340659,0.0686965274282838,0.0686965274282838,0.0690656285662302,12.980427678249,263.67679721576,28.9075342465753,0.0690656285662302,12.980427678249,263.67679721576,0.0690656285662302,12.980427678249,263.67679721576,0.0690656285662302,12.980427678249,263.67679721576,0.0690656285662302,12.980427678249,263.67679721576,0.0690656285662302,12.980427678249,263.67679721576,0.0856177824375759,10.5261315172836,187.326886375008
"Tennessee 6 per cents","1860-02-17",87.5,86.7252747252747,87.5,1,0.774725274725275,0.0691839837810441,0.0691839837810441,0.0696104553064996,12.9093615326807,261.594638067908,28.8883561643835,0.0696104553064996,12.9093615326807,261.594638067908,0.0696104553064996,12.9093615326807,261.594638067908,0.0696104553064996,12.9093615326807,261.594638067908,0.0696104553064996,12.9093615326807,261.594638067908,0.0696104553064996,12.9093615326807,261.594638067908,0.086317232530931,10.4537994227269,185.357749498731
"Tennessee 6 per cents","1860-02-24",88.25,87.3598901098901,88.25,1,0.89010989010989,0.0686814050756313,0.0686814050756313,0.0690512263540452,12.9434256619098,262.724207708072,28.8691780821917,0.0690512263540452,12.9434256619098,262.724207708072,0.0690512263540452,12.9434256619098,262.724207708072,0.0690512263540452,12.9434256619098,262.724207708072,0.0690512263540452,12.9434256619098,262.724207708072,0.0690512263540452,12.9434256619098,262.724207708072,0.0856604132520871,10.4845322960833,186.425887635007
"Tennessee 6 per cents","1860-03-02",88.5,87.4945054945055,88.5,1,1.00549450549451,0.0685757347400151,0.0685757347400151,0.0689345575602757,12.9353612764265,262.5671490696,28.85,0.0689345575602757,12.9353612764265,262.5671490696,0.0689345575602757,12.9353612764265,262.5671490696,0.0689345575602757,12.9353612764265,262.5671490696,0.0689345575602757,12.9353612764265,262.5671490696,0.0689345575602757,12.9353612764265,262.5671490696,0.0855473025535076,10.473979856625,186.278018312084
"Tennessee 6 per cents","1860-03-09",90.875,89.7541208791209,90.875,1,1.12087912087912,0.0668492982966285,0.0668492982966285,0.0670037926324596,13.0991314823712,267.665887927286,28.8308219178083,0.0670037926324596,13.0991314823712,267.665887927286,0.0670037926324596,13.0991314823712,267.665887927286,0.0670037926324596,13.0991314823712,267.665887927286,0.0670037926324596,13.0991314823712,267.665887927286,0.0670037926324596,13.0991314823712,267.665887927286,0.0831943661286553,10.6360446365569,191.213568409484
"Tennessee 6 per cents","1860-03-16",91.5,90.2637362637363,91.5,1,1.23626373626374,0.0664718772826881,0.0664718772826881,0.066576128059818,13.1213374895238,268.425912242794,28.8116438356165,0.066576128059818,13.1213374895238,268.425912242794,0.066576128059818,13.1213374895238,268.425912242794,0.066576128059818,13.1213374895238,268.425912242794,0.066576128059818,13.1213374895238,268.425912242794,0.066576128059818,13.1213374895238,268.425912242794,0.0827005012006609,10.6553629001363,191.94157972321
"Tennessee 6 per cents","1860-03-23",90.5,89.1483516483516,90.5,1,1.35164835164835,0.0673035439137134,0.0673035439137134,0.0675143733209561,13.0127967522207,265.192953624806,28.7924657534247,0.0675143733209561,13.0127967522207,265.192953624806,0.0675143733209561,13.0127967522207,265.192953624806,0.0675143733209561,13.0127967522207,265.192953624806,0.0675143733209561,13.0127967522207,265.192953624806,0.0675143733209561,13.0127967522207,265.192953624806,0.0838866891460616,10.5439992088125,188.820093176934
"Tennessee 6 per cents","1860-03-30",90,88.532967032967,90,1,1.46703296703297,0.0677713647365481,0.0677713647365481,0.0680447816000718,12.9424877016147,263.141837556631,28.7732876712329,0.0680447816000718,12.9424877016147,263.141837556631,0.0680447816000718,12.9424877016147,263.141837556631,0.0680447816000718,12.9424877016147,263.141837556631,0.0680447816000718,12.9424877016147,263.141837556631,0.0680447816000718,12.9424877016147,263.141837556631,0.0845668654016801,10.472368239618,186.877407707497
"Tennessee 6 per cents","1860-04-06",90.75,89.1675824175824,90.75,1,1.58241758241758,0.0672890285608651,0.0672890285608651,0.0675015502229793,12.9756346324916,264.232948010188,28.7541095890411,0.0675015502229793,12.9756346324916,264.232948010188,0.0675015502229793,12.9756346324916,264.232948010188,0.0675015502229793,12.9756346324916,264.232948010188,0.0675015502229793,12.9756346324916,264.232948010188,0.0675015502229793,12.9756346324916,264.232948010188,0.0839303824128011,10.5022714666453,187.914318672414
"Tennessee 6 per cents","1860-04-13",91,89.3021978021978,91,1,1.6978021978022,0.067187596136098,0.067187596136098,0.0673884780821462,12.9673750557053,264.066572978466,28.7349315068493,0.0673884780821462,12.9673750557053,264.066572978466,0.0673884780821462,12.9673750557053,264.066572978466,0.0673884780821462,12.9673750557053,264.066572978466,0.0673884780821462,12.9673750557053,264.066572978466,0.0673884780821462,12.9673750557053,264.066572978466,0.0838216952161315,10.4915034963845,187.758359845149
"Tennessee 6 per cents","1860-04-20",91.75,89.9368131868132,91.75,1,1.81318681318681,0.0667135045972447,0.0667135045972447,0.0668594820610545,12.9979190812097,265.085543256839,28.7157534246575,0.0668594820610545,12.9979190812097,265.085543256839,0.0668594820610545,12.9979190812097,265.085543256839,0.0668594820610545,12.9979190812097,265.085543256839,0.0668594820610545,12.9979190812097,265.085543256839,0.0668594820610545,12.9979190812097,265.085543256839,0.0831935985041942,10.5210594835722,188.782812646496
"Tennessee 6 per cents","1860-04-27",91.375,89.4464285714286,91.375,1,1.92857142857143,0.0670792573367938,0.0670792573367938,0.0672773839820117,12.9382930975899,263.364257301654,28.6965753424657,0.0672773839820117,12.9382930975899,263.364257301654,0.0672773839820117,12.9382930975899,263.364257301654,0.0672773839820117,12.9382930975899,263.364257301654,0.0672773839820117,12.9382930975899,263.364257301654,0.0672773839820117,12.9382930975899,263.364257301654,0.083736032456695,10.4597851568944,187.149369493232
"Tennessee 6 per cents","1860-05-04",91.75,89.706043956044,91.75,1,2.04395604395604,0.0668851254096101,0.0668851254096101,0.0670590111749221,12.9402302375328,263.506128833567,28.6773972602739,0.0670590111749221,12.9402302375328,263.506128833567,0.0670590111749221,12.9402302375328,263.506128833567,0.0670590111749221,12.9402302375328,263.506128833567,0.0670590111749221,12.9402302375328,263.506128833567,0.0670590111749221,12.9402302375328,263.506128833567,0.0834980749471164,10.4590557184139,187.287151810899
"Tennessee 6 per cents","1860-05-11",91,88.8406593406593,91,1,2.15934065934066,0.0675366441956831,0.0675366441956831,0.0677931782189982,12.8515499254164,260.90485131264,28.6582191780821,0.0677931782189982,12.8515499254164,260.90485131264,0.0677931782189982,12.8515499254164,260.90485131264,0.0677931782189982,12.8515499254164,260.90485131264,0.0677931782189982,12.8515499254164,260.90485131264,0.0677931782189982,12.8515499254164,260.90485131264,0.0844399323113113,10.3670837689318,184.766660972344
"Tennessee 6 per cents","1860-05-18",91.25,88.9752747252747,91.25,1,2.27472527472527,0.0674344644456109,0.0674344644456109,0.0676802438523618,12.8432272245363,260.739367702054,28.6390410958904,0.0676802438523618,12.8432272245363,260.739367702054,0.0676802438523618,12.8432272245363,260.739367702054,0.0676802438523618,12.8432272245363,260.739367702054,0.0676802438523618,12.8432272245363,260.739367702054,0.0676802438523618,12.8432272245363,260.739367702054,0.0843315094955392,10.3562593712705,184.612379595547
"Tennessee 6 per cents","1860-05-25",91.25,88.8598901098901,91.25,1,2.39010989010989,0.0675220281341784,0.0675220281341784,0.0677820625330133,12.8142527687534,259.952560042837,28.6198630136987,0.0677820625330133,12.8142527687534,259.952560042837,0.0677820625330133,12.8142527687534,259.952560042837,0.0677820625330133,12.8142527687534,259.952560042837,0.0677820625330133,12.8142527687534,259.952560042837,0.0677820625330133,12.8142527687534,259.952560042837,0.0844879137098595,10.3250390853884,183.866331923168
"Tennessee 6 per cents","1860-06-01",91.5,88.9945054945055,91.5,1,2.50549450549451,0.0674198925726986,0.0674198925726986,0.067669358132853,12.805910414649,259.78708200007,28.6006849315069,0.067669358132853,12.805910414649,259.78708200007,0.067669358132853,12.805910414649,259.78708200007,0.067669358132853,12.805910414649,259.78708200007,0.067669358132853,12.805910414649,259.78708200007,0.067669358132853,12.805910414649,259.78708200007,0.0843798681189126,10.3141821601996,183.712055848496
"Tennessee 6 per cents","1860-06-08",92.5,89.8791208791209,92.5,1,2.62087912087912,0.0667563271793618,0.0667563271793618,0.0669253479754112,12.857237991207,261.421470622501,28.5815068493151,0.0669253479754112,12.857237991207,261.421470622501,0.0669253479754112,12.857237991207,261.421470622501,0.0669253479754112,12.857237991207,261.421470622501,0.0669253479754112,12.857237991207,261.421470622501,0.0669253479754112,12.857237991207,261.421470622501,0.0834852820291724,10.3641727273828,185.320897655936
"Tennessee 6 per cents","1860-06-15",93,90.2637362637363,93,1,2.73626373626374,0.0664718772826881,0.0664718772826881,0.0666038201666167,12.8691748586374,261.862293597534,28.5623287671233,0.0666038201666167,12.8691748586374,261.862293597534,0.0666038201666167,12.8691748586374,261.862293597534,0.0666038201666167,12.8691748586374,261.862293597534,0.0666038201666167,12.8691748586374,261.862293597534,0.0666038201666167,12.8691748586374,261.862293597534,0.083119871781017,10.3733971546469,185.746808112426
"Tennessee 6 per cents","1860-06-22",92,89.1483516483516,92,1,2.85164835164835,0.0673035439137134,0.0673035439137134,0.0675468226482407,12.7601639925252,258.670022673951,28.5431506849316,0.0675468226482407,12.7601639925252,258.670022673951,0.0675468226482407,12.7601639925252,258.670022673951,0.0675468226482407,12.7601639925252,258.670022673951,0.0675468226482407,12.7601639925252,258.670022673951,0.0675468226482407,12.7601639925252,258.670022673951,0.0843220774120038,10.2611067515836,182.658015607203
"Tennessee 6 per cents","1860-06-29",92.125,89.157967032967,92.125,1,2.96703296703297,0.0672962854545735,0.0672962854545735,0.0675419224810088,12.7414598458037,258.195216024886,28.5239726027398,0.0675419224810088,12.7414598458037,258.195216024886,0.0675419224810088,12.7414598458037,258.195216024886,0.0675419224810088,12.7414598458037,258.195216024886,0.0675419224810088,12.7414598458037,258.195216024886,0.0675419224810088,12.7414598458037,258.195216024886,0.0843474204885505,10.2399775016626,182.208815560548
"Tennessee 6 per cents","1860-07-06",90,89.9184782608696,90,1,0.0815217391304348,0.0667271078875793,0.0667271078875793,0.0669030457762245,13.2095981379971,268.177563655975,28.504794520548,0.0669030457762245,13.2095981379971,268.177563655975,0.0669030457762245,13.2095981379971,268.177563655975,0.0669030457762245,13.2095981379971,268.177563655975,0.0669030457762245,13.2095981379971,268.177563655975,0.0669030457762245,13.2095981379971,268.177563655975,0.0835802839917435,10.6236219880433,189.649916747789
"Tennessee 6 per cents","1860-07-13",90.25,90.054347826087,90.25,1,0.195652173913043,0.0666264333132167,0.0666264333132167,0.0667895209717728,13.2011036734008,267.996501997858,28.4856164383561,0.0667895209717728,13.2011036734008,267.996501997858,0.0667895209717728,13.2011036734008,267.996501997858,0.0667895209717728,13.2011036734008,267.996501997858,0.0667895209717728,13.2011036734008,267.996501997858,0.0667895209717728,13.2011036734008,267.996501997858,0.0834700334619806,10.6128841846701,189.490562152596
"Tennessee 6 per cents","1860-07-20",90,89.6902173913043,90,1,0.309782608695652,0.0668969278313034,0.0668969278313034,0.067099751953198,13.1526104710218,266.600639477631,28.4664383561643,0.067099751953198,13.1526104710218,266.600639477631,0.067099751953198,13.1526104710218,266.600639477631,0.067099751953198,13.1526104710218,266.600639477631,0.067099751953198,13.1526104710218,266.600639477631,0.067099751953198,13.1526104710218,266.600639477631,0.0838831729510058,10.562140754213,188.15979690365
"Tennessee 6 per cents","1860-07-27",90.125,89.7010869565217,90.125,1,0.423913043478261,0.0668888215692214,0.0668888215692214,0.0670922006962233,13.1341134588657,266.117472877822,28.4472602739726,0.0670922006962233,13.1341134588657,266.117472877822,0.0670922006962233,13.1341134588657,266.117472877822,0.0670922006962233,13.1341134588657,266.117472877822,0.0670922006962233,13.1341134588657,266.117472877822,0.0670922006962233,13.1341134588657,266.117472877822,0.0839041113961592,10.5413702348552,187.708717833871
"Tennessee 6 per cents","1860-08-03",89.875,89.3369565217391,89.875,1,0.53804347826087,0.0671614551648619,0.0671614551648619,0.0673973258767784,13.0875740131738,264.77554357819,28.4280821917808,0.0673973258767784,13.0875740131738,264.77554357819,0.0673973258767784,13.0875740131738,264.77554357819,0.0673973258767784,13.0875740131738,264.77554357819,0.0673973258767784,13.0875740131738,264.77554357819,0.0673973258767784,13.0875740131738,264.77554357819,0.0843212136517711,10.490435768639,186.378370768668
"Tennessee 6 per cents","1860-08-10",90.125,89.4728260869565,90.125,1,0.652173913043478,0.0670594666828646,0.0670594666828646,0.067283050986268,13.0791502821382,264.599252135884,28.408904109589,0.067283050986268,13.0791502821382,264.599252135884,0.067283050986268,13.0791502821382,264.599252135884,0.067283050986268,13.0791502821382,264.599252135884,0.067283050986268,13.0791502821382,264.599252135884,0.067283050986268,13.0791502821382,264.599252135884,0.0842105619294113,10.4796774272492,186.22187749913
"Tennessee 6 per cents","1860-08-17",90.5,89.7336956521739,90.5,1,0.766304347826087,0.0668645145660469,0.0668645145660469,0.0670626414237273,13.0807519457399,264.72570630414,28.3897260273972,0.0670626414237273,13.0807519457399,264.72570630414,0.0670626414237273,13.0807519457399,264.72570630414,0.0670626414237273,13.0807519457399,264.72570630414,0.0670626414237273,13.0807519457399,264.72570630414,0.0670626414237273,13.0807519457399,264.72570630414,0.0839685101238224,10.4789389994809,186.357168362326
